run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae
1,tomgro,ukf,0.1,gnvMod,cps,6,A,w,w_fm_full,NA,case1,,0.000001,122,106,10,1,0.338876269,122
1,tomgro,ukf,0.1,gnvMod,cps,7,A,w,w_fm_full,NA,case1,,0.000001,200,107,10,1,0.257467361,200
1,tomgro,ukf,0.1,gnvMod,cps,8,A,w,w_fm_full,NA,case1,,0.000001,200,108,10,1,0.257467361,200
1,tomgro,ukf,0.1,gnvMod,cps,3,A,lai,lai_lat,NA,case1,,0.000001,0.15,109,11,0,0.310830095,0.15
1,tomgro,ukf,0.1,gnvMod,cps,4,A,lai,lai_lat,NA,case1,,0.000001,0.15,110,11,1,0.310830095,0.15
1,tomgro,ukf,0.1,gnvMod,cps,5,A,lai,lai_lat,NA,case1,,0.000001,0.96,111,11,1,0.613439194,0.96
1,tomgro,ukf,0.1,gnvMod,cps,6,A,lai,lai_lat,NA,case1,,0.000001,0.96,112,11,1,0.613439194,0.96
1,tomgro,ukf,0.1,gnvMod,cps,7,A,lai,lai_lat,NA,case1,,0.000001,1.3,113,11,1,0.43563716,1.3
1,tomgro,ukf,0.1,gnvMod,cps,8,A,lai,lai_lat,NA,case1,,0.000001,1.3,114,11,1,0.43563716,1.3
1,tomgro,ukf,0.1,gnvMod,cps,3,A,lai,lai_abv,NA,case1,,0.000001,0.15,115,12,0,0.988148935,0.15
1,tomgro,ukf,0.1,gnvMod,cps,4,A,lai,lai_abv,NA,case1,,0.000001,0.15,116,12,1,0.988148935,0.15
1,tomgro,ukf,0.1,gnvMod,cps,5,A,lai,lai_abv,NA,case1,,0.000001,0.96,117,12,1,0.596529036,0.96
1,tomgro,ukf,0.1,gnvMod,cps,6,A,lai,lai_abv,NA,case1,,0.000001,0.96,118,12,1,0.596529036,0.96
1,tomgro,ukf,0.1,gnvMod,cps,7,A,lai,lai_abv,NA,case1,,0.000001,1.3,119,12,1,0.920890167,1.3
1,tomgro,ukf,0.1,gnvMod,cps,8,A,lai,lai_abv,NA,case1,,0.000001,1.3,120,12,1,0.920890167,1.3
0,tomgro,enkf,1,cps4,cps,3,A,wf,wf_lat,100,case2,,0.000001,11,121,13,0,0.062191155,11
0,tomgro,enkf,1,cps4,cps,4,A,wf,wf_lat,100,case2,,0.000001,11,122,13,1,0.062191155,11
0,tomgro,ukf,1,cps4,cps,3,A,wf,wf_lat,NA,case1,,0.000001,11,123,13,1,0.062191155,11
0,tomgro,ukf,1,cps4,cps,4,A,wf,wf_lat,NA,case1,,0.000001,11,124,13,1,0.062191155,11
0,tomgro,pf,1,cps4,cps,3,A,wf,wf_lat,50000,case1,,0.000001,11,125,13,1,0.062191155,11
0,tomgro,pf,1,cps4,cps,4,A,wf,wf_lat,50000,case1,,0.000001,11,126,13,1,0.062191155,11
0,tomgro,enkf,1,cps4,cps,5,A,wf,wf_lat,100,case2,,0.000001,24,127,13,1,0.083996048,24
0,tomgro,enkf,1,cps4,cps,6,A,wf,wf_lat,100,case2,,0.000001,24,128,13,1,0.083996048,24
0,tomgro,ukf,1,cps4,cps,5,A,wf,wf_lat,NA,case1,,0.000001,24,129,13,1,0.083996048,24
0,tomgro,ukf,1,cps4,cps,6,A,wf,wf_lat,NA,case1,,0.000001,24,130,13,1,0.083996048,24
0,tomgro,pf,1,cps4,cps,5,A,wf,wf_lat,50000,case1,,0.000001,24,131,13,1,0.083996048,24
0,tomgro,pf,1,cps4,cps,6,A,wf,wf_lat,50000,case1,,0.000001,24,132,13,1,0.083996048,24
0,tomgro,enkf,1,cps4,cps,3,A,w,w_fm_full,100,case2,,0.000001,20,133,14,0,0.395089642,20
0,tomgro,enkf,1,cps4,cps,4,A,w,w_fm_full,100,case2,,0.000001,20,134,14,1,0.395089642,20
0,tomgro,ukf,1,cps4,cps,3,A,w,w_fm_full,NA,case1,,0.000001,20,135,14,1,0.395089642,20
0,tomgro,ukf,1,cps4,cps,4,A,w,w_fm_full,NA,case1,,0.000001,20,136,14,1,0.395089642,20
0,tomgro,pf,1,cps4,cps,3,A,w,w_fm_full,50000,case1,,0.000001,20,137,14,1,0.395089642,20
0,tomgro,pf,1,cps4,cps,4,A,w,w_fm_full,50000,case1,,0.000001,20,138,14,1,0.395089642,20
0,tomgro,enkf,1,cps4,cps,5,A,w,w_fm_full,100,case2,,0.000001,122,139,14,1,0.338876269,122
0,tomgro,enkf,1,cps4,cps,6,A,w,w_fm_full,100,case2,,0.000001,122,140,14,1,0.338876269,122
0,tomgro,ukf,1,cps4,cps,5,A,w,w_fm_full,NA,case1,,0.000001,122,141,14,1,0.338876269,122
0,tomgro,ukf,1,cps4,cps,6,A,w,w_fm_full,NA,case1,,0.000001,122,142,14,1,0.338876269,122
0,tomgro,pf,1,cps4,cps,5,A,w,w_fm_full,50000,case1,,0.000001,122,143,14,1,0.338876269,122
0,tomgro,pf,1,cps4,cps,6,A,w,w_fm_full,50000,case1,,0.000001,122,144,14,1,0.338876269,122
0,tomgro,enkf,1,cps4,cps,3,A,lai,lai_lat,100,case2,,0.000001,0.15,145,15,0,0.310830095,0.15
0,tomgro,enkf,1,cps4,cps,4,A,lai,lai_lat,100,case2,,0.000001,0.15,146,15,1,0.310830095,0.15
0,tomgro,ukf,1,cps4,cps,3,A,lai,lai_lat,NA,case1,,0.000001,0.15,147,15,1,0.310830095,0.15
0,tomgro,ukf,1,cps4,cps,4,A,lai,lai_lat,NA,case1,,0.000001,0.15,148,15,1,0.310830095,0.15
0,tomgro,pf,1,cps4,cps,3,A,lai,lai_lat,50000,case1,,0.000001,0.15,149,15,1,0.310830095,0.15
0,tomgro,pf,1,cps4,cps,4,A,lai,lai_lat,50000,case1,,0.000001,0.15,150,15,1,0.310830095,0.15
0,tomgro,enkf,1,cps4,cps,5,A,lai,lai_lat,100,case2,,0.000001,0.96,151,15,1,0.613439194,0.96
0,tomgro,enkf,1,cps4,cps,6,A,lai,lai_lat,100,case2,,0.000001,0.96,152,15,1,0.613439194,0.96
0,tomgro,ukf,1,cps4,cps,5,A,lai,lai_lat,NA,case1,,0.000001,0.96,153,15,1,0.613439194,0.96
0,tomgro,ukf,1,cps4,cps,6,A,lai,lai_lat,NA,case1,,0.000001,0.96,154,15,1,0.613439194,0.96
0,tomgro,pf,1,cps4,cps,5,A,lai,lai_lat,50000,case1,,0.000001,0.96,155,15,1,0.613439194,0.96
0,tomgro,pf,1,cps4,cps,6,A,lai,lai_lat,50000,case1,,0.000001,0.96,156,15,1,0.613439194,0.96
0,tomgro,enkf,1,cps4,cps,3,A,lai,lai_abv,100,case2,,0.000001,0.15,157,16,0,0.988148935,0.15
0,tomgro,enkf,1,cps4,cps,4,A,lai,lai_abv,100,case2,,0.000001,0.15,158,16,1,0.988148935,0.15
0,tomgro,ukf,1,cps4,cps,3,A,lai,lai_abv,NA,case1,,0.000001,0.15,159,16,1,0.988148935,0.15
0,tomgro,ukf,1,cps4,cps,4,A,lai,lai_abv,NA,case1,,0.000001,0.15,160,16,1,0.988148935,0.15
0,tomgro,pf,1,cps4,cps,3,A,lai,lai_abv,50000,case1,,0.000001,0.15,161,16,1,0.988148935,0.15
0,tomgro,pf,1,cps4,cps,4,A,lai,lai_abv,50000,case1,,0.000001,0.15,162,16,1,0.988148935,0.15
0,tomgro,enkf,1,cps4,cps,5,A,lai,lai_abv,100,case2,,0.000001,0.96,163,16,1,0.596529036,0.96
0,tomgro,enkf,1,cps4,cps,6,A,lai,lai_abv,100,case2,,0.000001,0.96,164,16,1,0.596529036,0.96
0,tomgro,ukf,1,cps4,cps,5,A,lai,lai_abv,NA,case1,,0.000001,0.96,165,16,1,0.596529036,0.96
0,tomgro,ukf,1,cps4,cps,6,A,lai,lai_abv,NA,case1,,0.000001,0.96,166,16,1,0.596529036,0.96
0,tomgro,pf,1,cps4,cps,5,A,lai,lai_abv,50000,case1,,0.000001,0.96,167,16,1,0.596529036,0.96
0,tomgro,pf,1,cps4,cps,6,A,lai,lai_abv,50000,case1,,0.000001,0.96,168,16,1,0.596529036,0.96
